S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#
,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#
,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#
,#, , ,#, , , ,#, ,#, ,#, ,#, ,#, , , ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,,#, ,#,
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#,
,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,,#, ,#
,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,,
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#,
,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,,
,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,,#, ,#
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#,
,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,,
,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,,#, ,#
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#,
,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,,
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,E,
